,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
204,Hebbal,12.9116225,77.63886219999998,KFC,12.913271953232632,77.63821438065442,Fast Food Restaurant
205,Hebbal,12.9116225,77.63886219999998,Dindigul Thalappakatti Biriyani Restaurant,12.912064,77.637928,Indian Restaurant
206,Hebbal,12.9116225,77.63886219999998,Snap Fitness,12.911747293793638,77.63796599296153,Gym
207,Hebbal,12.9116225,77.63886219999998,Max HSR,12.912281,77.637535,Clothing Store
208,Hebbal,12.9116225,77.63886219999998,Third Wave Coffee Roasters Hsr Layout,12.909977649585404,77.63801739355078,Coffee Shop
209,Hebbal,12.9116225,77.63886219999998,Go Native,12.913414,77.638337,Vegetarian / Vegan Restaurant
210,Hebbal,12.9116225,77.63886219999998,Krispy Kreme,12.913560460777276,77.63825934724365,Donut Shop
211,Hebbal,12.9116225,77.63886219999998,The Rasaganga,12.912735424166428,77.63671041093541,Food Court
212,Hebbal,12.9116225,77.63886219999998,Ammi's Briyani,12.912371953992398,77.63645508204566,Indian Restaurant
213,Hebbal,12.9116225,77.63886219999998,New Delicacy,12.909212,77.640177,Restaurant
214,Hebbal,12.9116225,77.63886219999998,Krishna Kuteer,12.912092,77.64247,Food Court
215,Hebbal,12.9116225,77.63886219999998,Mughal Garden HSR LAYOUT,12.910347704648462,77.63524124211503,Indian Restaurant
216,Hebbal,12.9116225,77.63886219999998,My Mark@ Marketing Freshness,12.912414165744904,77.64291682080407,Farmers Market
217,Hebbal,12.9116225,77.63886219999998,Howrah Bridge,12.915284452256989,77.63653898754704,Bengali Restaurant
218,Raja Rajeshwari Nagar,12.8529125,77.6556155,Hot Attack,12.850678902961052,77.65763643359821,Food
219,Raja Rajeshwari Nagar,12.8529125,77.6556155,Hot N Cool,12.851219821092482,77.65665691725583,Bakery
220,Raja Rajeshwari Nagar,12.8529125,77.6556155,Hyderabadi Spice,12.850906058631582,77.65750221000674,Indian Restaurant
221,Raja Rajeshwari Nagar,12.8529125,77.6556155,Kailash Veg Cafe,12.85030316666497,77.65738476423233,Café
222,Kanakpura Road,12.89630025,77.58941132510462,Hakuna Matata,12.894028445429306,77.58650905555963,Lounge
223,Kanakpura Road,12.89630025,77.58941132510462,Veekes & Thomas,12.895986860277102,77.58617298564238,Eastern European Restaurant
224,Kanakpura Road,12.89630025,77.58941132510462,Big Market,12.897156812778187,77.5859876937897,Shopping Mall
225,Kanakpura Road,12.89630025,77.58941132510462,Fitness Edge,12.898095224776936,77.58649783121011,Gym
226,Sarjapur  Road,12.940615199999998,77.7469937,shri guru narasimha hotel,12.94001136100228,77.74778704573104,Indian Restaurant
227,Sarjapur  Road,12.940615199999998,77.7469937,State Bank of India ATM,12.9430748,77.7472481,ATM
